place name,price,Rooms,interior,location,distance from location,place link
Fahari Triple Hotel,"KES 1,686",Standard Double Room,1 large double bed,"Nairobi CBD, Nairobi",1.2 km from centre,https://www.booking.com/hotel/ke/fahari-triple.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaHaIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AsGR9JsGwAIB0gIkZWMxYzYxNjUtYjBlNy00MDllLWFhNzgtMWNmYjlhOGUwNDE32AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2022-11-25&checkout=2022-11-26&dest_id=-2258072&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=a2a061888ad4014e&srepoch=1669211538&all_sr_blocks=761355302_348488525_2_2_0&highlighted_blocks=761355302_348488525_2_2_0&matching_block_id=761355302_348488525_2_2_0&sr_pri_blocks=761355302_348488525_2_2_0__1380&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Deka B&B,"KES 1,963",Double Room,1 double bed,Nairobi,1.9 km from centre,https://www.booking.com/hotel/ke/deka-b-amp-b.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaHaIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AsGR9JsGwAIB0gIkZWMxYzYxNjUtYjBlNy00MDllLWFhNzgtMWNmYjlhOGUwNDE32AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2022-11-25&checkout=2022-11-26&dest_id=-2258072&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=a2a061888ad4014e&srepoch=1669211538&all_sr_blocks=895066702_361745566_2_42_0&highlighted_blocks=895066702_361745566_2_42_0&matching_block_id=895066702_361745566_2_42_0&sr_pri_blocks=895066702_361745566_2_42_0__1607&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Royalty homes -JKIA,"KES 2,419",Budget Double Room,1 double bed,Nairobi,15.4 km from centre,https://www.booking.com/hotel/ke/royalty-homes-jkia.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaHaIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AsGR9JsGwAIB0gIkZWMxYzYxNjUtYjBlNy00MDllLWFhNzgtMWNmYjlhOGUwNDE32AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2022-11-25&checkout=2022-11-26&dest_id=-2258072&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=a2a061888ad4014e&srepoch=1669211538&all_sr_blocks=458603105_347077130_0_2_0&highlighted_blocks=458603105_347077130_0_2_0&matching_block_id=458603105_347077130_0_2_0&sr_pri_blocks=458603105_347077130_0_2_0__1980&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Becky topcomfort homes,"KES 2,077",Double Room,1 double bed,Nairobi,15.4 km from centre,https://www.booking.com/hotel/ke/becky-topcomfort-homes.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaHaIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AsGR9JsGwAIB0gIkZWMxYzYxNjUtYjBlNy00MDllLWFhNzgtMWNmYjlhOGUwNDE32AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2022-11-25&checkout=2022-11-26&dest_id=-2258072&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=a2a061888ad4014e&srepoch=1669211538&all_sr_blocks=795873705_339721947_2_1_0&highlighted_blocks=795873705_339721947_2_1_0&matching_block_id=795873705_339721947_2_1_0&sr_pri_blocks=795873705_339721947_2_1_0__1700&from=searchresults#hotelTmpl
"ibis Styles - Nairobi, Westlands","KES 10,261",Standard Room with Two Single Beds,2 single beds,"Westlands, Nairobi",3.8 km from centre,https://www.booking.com/hotel/ke/tune.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaHaIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AsGR9JsGwAIB0gIkZWMxYzYxNjUtYjBlNy00MDllLWFhNzgtMWNmYjlhOGUwNDE32AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2022-11-25&checkout=2022-11-26&dest_id=-2258072&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=a2a061888ad4014e&srepoch=1669211538&all_sr_blocks=176566710_265986161_2_42_0&highlighted_blocks=176566710_265986161_2_42_0&matching_block_id=176566710_265986161_2_42_0&sr_pri_blocks=176566710_265986161_2_42_0__8400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Raha Suites,"KES 6,156",Standard Double Room,1 double bed,Nairobi,4.7 km from centre,https://www.booking.com/hotel/ke/raha-suites-by-edmor.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaHaIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AsGR9JsGwAIB0gIkZWMxYzYxNjUtYjBlNy00MDllLWFhNzgtMWNmYjlhOGUwNDE32AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2022-11-25&checkout=2022-11-26&dest_id=-2258072&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=a2a061888ad4014e&srepoch=1669211538&all_sr_blocks=813261601_354825050_2_42_0&highlighted_blocks=813261601_354825050_2_42_0&matching_block_id=813261601_354825050_2_42_0&sr_pri_blocks=813261601_354825050_2_42_0__5040&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Eka Hotel Nairobi,"KES 12,763",Superior Double or Twin Room,Beds: 1 double or 2 singles,Nairobi,4.4 km from centre,https://www.booking.com/hotel/ke/eka-nairobi.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaHaIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AsGR9JsGwAIB0gIkZWMxYzYxNjUtYjBlNy00MDllLWFhNzgtMWNmYjlhOGUwNDE32AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2022-11-25&checkout=2022-11-26&dest_id=-2258072&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=a2a061888ad4014e&srepoch=1669211538&all_sr_blocks=41234601_92116315_0_42_0&highlighted_blocks=41234601_92116315_0_42_0&matching_block_id=41234601_92116315_0_42_0&sr_pri_blocks=41234601_92116315_0_42_0__10449&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hilton Garden Inn Nairobi Airport,"KES 18,782",Twin Room,2 single beds,Nairobi,11.8 km from centre,https://www.booking.com/hotel/ke/hilton-garden-inn-nairobi-kenya.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaHaIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AsGR9JsGwAIB0gIkZWMxYzYxNjUtYjBlNy00MDllLWFhNzgtMWNmYjlhOGUwNDE32AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2022-11-25&checkout=2022-11-26&dest_id=-2258072&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=a2a061888ad4014e&srepoch=1669211538&all_sr_blocks=269364904_274562730_2_42_0&highlighted_blocks=269364904_274562730_2_42_0&matching_block_id=269364904_274562730_2_42_0&sr_pri_blocks=269364904_274562730_2_42_0__15376&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
"Jayson Furnished Apartment, Nairobi","KES 3,205",One-Bedroom Apartment,"Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 1,476m²2 beds (1 double, 1 sofa bed)",Nairobi,4 km from centre,https://www.booking.com/hotel/ke/redrossie-apartment-nairobi.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaHaIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AsGR9JsGwAIB0gIkZWMxYzYxNjUtYjBlNy00MDllLWFhNzgtMWNmYjlhOGUwNDE32AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2022-11-25&checkout=2022-11-26&dest_id=-2258072&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=a2a061888ad4014e&srepoch=1669211538&all_sr_blocks=705135501_295325533_0_0_0&highlighted_blocks=705135501_295325533_0_0_0&matching_block_id=705135501_295325533_0_0_0&sr_pri_blocks=705135501_295325533_0_0_0__2624&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hays Suites Hotel,"KES 7,372",Deluxe Double Room,1 large double bed,"Kilimani, Nairobi",3.8 km from centre,https://www.booking.com/hotel/ke/hays-suites.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaHaIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AsGR9JsGwAIB0gIkZWMxYzYxNjUtYjBlNy00MDllLWFhNzgtMWNmYjlhOGUwNDE32AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2022-11-25&checkout=2022-11-26&dest_id=-2258072&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=a2a061888ad4014e&srepoch=1669211538&all_sr_blocks=792077301_344213701_2_2_0&highlighted_blocks=792077301_344213701_2_2_0&matching_block_id=792077301_344213701_2_2_0&sr_pri_blocks=792077301_344213701_2_2_0__6035&from=searchresults#hotelTmpl
